S.N.,plot_id,clump_sn,culm_sn,stump_ht_cm,sample_sn,sample_id,species_code,latin_name,species_name,d30,dbh,base,ht_culmination,length_m,nodes,culm_thickness_cm_bh,remarks,total no of samples,remarks,gree_wt_culm_kg,gree_wt_branch_kg,gree_wt_foliage_kg,total_biomass
74,Dhanusha,,7,10,S7,Dhanusha-S7,407,Bambusa tulda,Jhapta/ Chab Bans,7.6,7.3,1,13.6,14.6,48,0.4,NA,328,,17.1,3.2,2,22.3
74,Dhanusha,,8,20,S8,Dhanusha-S8,407,Bambusa tulda,Jhapta/ Chab Bans,7.6,7.4,1.9,12.7,14.6,71,0.4,NA,329,,16.3,4.1,1.9,22.3
74,Dhanusha,,9,15,S9,Dhanusha-S9,407,Bambusa tulda,Jhapta/ Chab Bans,7,7,1.2,14.7,15.9,72,0.4,NA,330,,17.1,6.3,2.1,25.5
74,Dhanusha,,10,20,S10,Dhanusha-S10,407,Bambusa tulda,Jhapta/ Chab Bans,7.3,7.2,1.6,14.7,16.3,72,0.3,NA,331,,15.8,5.2,2,23
74,Dhanusha,,11,10,S11,Dhanusha-S11,407,Bambusa tulda,Jhapta/ Chab Bans,8.5,8.3,1.3,12.6,13.9,66,0.4,NA,332,,32.3,7.9,6.3,46.5
74,Dhanusha,,12,10,S12,Dhanusha-S12,407,Bambusa tulda,Jhapta/ Chab Bans,8.9,8.8,2,14.9,16.9,58,0.7,NA,333,,33.1,6.8,5.9,45.8
74,Belbari Research plot,,1,30,S1,Belbari Research plot-S1,407,Bambusa tulda,Jhapta/ Chab Bans,5.4,5.3,1,17.7,19.2,45,1.4,NA,334,,22.5,3.4,0.715,26.615
74,Belbari Research plot,,2,30,S2,Belbari Research plot-S2,407,Bambusa tulda,Jhapta/ Chab Bans,6.7,6.7,1.2,15.9,16.8,39,1.2,NA,335,,26.5,7.1,2.36,35.96
74,Belbari Research plot,,3,30,M1,Belbari Research plot-M1,407,Bambusa tulda,Jhapta/ Chab Bans,8.7,8.2,1.1,18.8,18.4,47,1.6,NA,336,,41.36,8.3,1.5,51.16
74,Belbari Research plot,,4,30,M2,Belbari Research plot-M2,407,Bambusa tulda,Jhapta/ Chab Bans,8.1,8.7,0.9,19.8,19.2,40,1.5,NA,337,,39.52,5.89,2.6,48.01
74,Belbari Research plot,,5,30,M3,Belbari Research plot-M3,407,Bambusa tulda,Jhapta/ Chab Bans,7.2,7.1,2.1,16.8,19,51,1.3,NA,338,,33.9,5.1,0.55,39.55
74,Belbari Research plot,,6,30,L1,Belbari Research plot-L1,407,Bambusa tulda,Jhapta/ Chab Bans,10.7,10.5,0.9,20.1,21.9,58,1.8,NA,339,,52.3,9.2,1.6,63.1
74,Belbari Research plot,,7,30,L2,Belbari Research plot-L2,407,Bambusa tulda,Jhapta/ Chab Bans,10.1,10.2,1.7,19.4,21.6,53,2,NA,340,,54.6,17.8,2.4,74.8
74,Belbari Research plot,,8,30,L3,Belbari Research plot-L3,407,Bambusa tulda,Jhapta/ Chab Bans,9.4,9.5,1.1,20.7,22,55,1.6,NA,341,,49.7,14.5,3.46,67.66
74,Belbari Research plot,,9,30,L4,Belbari Research plot-L4,407,Bambusa tulda,Jhapta/ Chab Bans,9.1,9.4,2.2,18.7,20.4,53,2.3,NA,342,,45.3,10.66,1.353,57.313
75,Belbari Research plot,,1,30,S1,Belbari Research plot-S1,403,Bambusa balcooa,Dhanu Bans,11.6,11.1,0,16,16.5,41,1.8,NA,343,,22.5,3.4,0.715,26.615
75,Belbari Research plot,,2,30,S2,Belbari Research plot-S2,403,Bambusa balcooa,Dhanu Bans,10,9.5,2.7,20.1,22.7,57,1.7,NA,344,,26.5,7.1,2.36,35.96
75,Belbari Research plot,,3,30,S3,Belbari Research plot-S3,403,Bambusa balcooa,Dhanu Bans,9.7,9.7,0.7,18.3,19.4,53,1.7,NA,345,,47.1,13.4,3.2,63.7
75,Belbari Research plot,,4,30,S4,Belbari Research plot-S4,403,Bambusa balcooa,Dhanu Bans,11.8,11.2,2.7,15.6,17.3,44,1.6,NA,346,,38.8,12.3,2.4,53.5
75,Belbari Research plot,,5,30,S5,Belbari Research plot-S5,403,Bambusa balcooa,Dhanu Bans,7.3,7.4,1.8,12.9,15,39,1.2,NA,347,,26.5,1.65,1.4,29.55
76,Belbari Research plot,,1,30,S1,Belbari Research plot-S1,406,Bambusa nutans,Taru Bans,8.9,8.9,0.7,17,18.1,48,1.3,NA,348,,22.5,3.4,0.715,26.615
76,Belbari Research plot,,2,30,S2,Belbari Research plot-S2,406,Bambusa nutans,Taru Bans,7.4,7,2.1,13.2,15.6,40,1.3,NA,349,,26.5,7.1,2.36,35.96
76,Belbari Research plot,,3,30,S3,Belbari Research plot-S3,406,Bambusa nutans,Taru Bans,5.4,5.2,0.6,15.2,14.6,33,1.2,NA,350,,47.1,13.4,3.2,63.7
76,Belbari Research plot,,4,30,S4,Belbari Research plot-S4,406,Bambusa nutans,Taru Bans,7,6.6,1.3,17.2,16,43,1.3,NA,351,,38.8,12.3,2.4,53.5
77,Belbari Research plot,,1,30,S1,Belbari Research plot-S1,405,Bambusa cupulata,Mal bans,9,8.6,1.1,14.1,15.4,35,1.4,NA,352,,22.5,3.4,0.715,26.615
